assumption,context_compile_success,context_variables,dataset,hypothesis,llm_confidence,predicate_families,query
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x20 = 1 THEN y = 1 increases,0.88,discharge,diab_discharge_facility = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x21 = 1 THEN y = 1 increases,0.88,admission,diab_admission_elective = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x22 = 1 THEN y = 1 increases,0.88,lab,diab_a1c_missing = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x23 = 1 THEN y = 1 increases,0.88,lab,diab_a1c_high = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x24 = 1 THEN y = 1 increases,0.88,medication,diab_metformin_yes = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x25 = 1 THEN y = 1 increases,0.88,medication,diab_insulin_yes = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x26 = 1 THEN y = 1 decreases,0.88,medication,diab_insulin_no = 1 -> P(y=1) decreases
"Within exact-match strata of diab_outpatient_prior, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_outpatient_prior;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x27 = 1 THEN y = 1 increases,0.88,demographic,diab_female = 1 -> P(y=1) increases
"Within exact-match strata of diab_outpatient_prior, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_outpatient_prior;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x28 = 1 THEN y = 1 increases,0.88,demographic,diab_race_african_american = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x29 = 1 THEN y = 1 increases,0.88,diagnosis,diab_primary_circulatory = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x30 = 1 THEN y = 1 increases,0.88,diagnosis,diab_primary_diabetes = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x31 = 1 THEN y = 1 increases,0.88,specialty,diab_specialty_emergency = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_time_in_hospital_ge_7, diab_discharge_home, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_time_in_hospital_ge_7;diab_discharge_home,Healthcare,IF x7 = 1 AND x13 = 1 THEN y = 1 increases,0.88,admission+history,diab_inpatient_prior = 1 AND diab_admission_emergency = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_time_in_hospital_ge_7, diab_discharge_home, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_time_in_hospital_ge_7;diab_discharge_home,Healthcare,IF x7 = 1 AND x21 = 1 THEN y = 1 increases,0.88,admission+history,diab_inpatient_prior = 1 AND diab_admission_elective = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_time_in_hospital_ge_7, diab_discharge_home, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_time_in_hospital_ge_7;diab_discharge_home,Healthcare,IF x6 = 1 AND x13 = 1 THEN y = 1 increases,0.88,admission+history,diab_emergency_prior = 1 AND diab_admission_emergency = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x5 = 1 AND x7 = 1 THEN y = 1 increases,0.88,history,diab_outpatient_prior = 1 AND diab_inpatient_prior = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_admission_emergency,Healthcare,IF x1 = 1 AND x4 = 1 THEN y = 1 increases,0.88,medication+utilization,diab_time_in_hospital_ge_7 = 1 AND diab_num_medications_ge_20 = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_admission_emergency, diab_discharge_home, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_admission_emergency;diab_discharge_home,Healthcare,IF x14 = 1 AND x15 = 1 THEN y = 1 decreases,0.88,history+utilization,diab_no_prior_inpatient = 1 AND diab_short_stay = 1 -> P(y=1) decreases
